Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
2.029666e-02,10,0.132059,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.867669e-02,11,0.133679,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.524584e-02,12,0.197602,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.989941e-03,13,0.162346,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.450952e-02,14,0.166865,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.189022e-02,15,0.174246,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.783536e-03,16,0.162139,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.113572e-02,17,0.163491,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.801227e-03,18,0.154157,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.553621e-02,19,0.187892,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.148951e-02,20,0.183845,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.801988e-02,21,0.180376,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.642625e-03,22,0.149713,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.697180e-03,24,0.159053,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.446825e-02,25,0.186824,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.149011e-02,27,0.140866,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.042385e-04,28,0.152860,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.771476e-02,30,0.134641,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.625584e-02,32,0.168612,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.054445e-03,33,0.158410,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.689767e-04,35,0.152925,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.045871e-02,37,0.141897,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.140908e-03,40,0.155497,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.914437e-02,42,0.181500,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.427366e-03,44,0.148928,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.831181e-03,47,0.150525,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
7.315805e-03,49,0.145040,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.091881e-02,52,0.173274,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.942178e-03,55,0.149414,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.155886e-04,59,0.152571,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.538333e-02,62,0.167739,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.705519e-03,65,0.157061,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.585878e-03,69,0.149770,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.768195e-03,73,0.142587,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.235119e-03,77,0.153591,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.678814e-04,82,0.153324,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.463206e-03,87,0.149892,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.701922e-03,92,0.147654,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.816993e-02,97,0.170526,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.365041e-03,102,0.157721,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.108161e-03,108,0.158464,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.571124e-04,114,0.152913,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.068863e-03,121,0.144287,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.965033e-03,128,0.143391,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
8.246579e-03,135,0.160602,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.445242e-03,143,0.145910,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.931313e-03,151,0.145424,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.461902e-03,160,0.147894,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.708483e-03,169,0.150647,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.163161e-03,179,0.161519,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
4.029023e-03,189,0.156385,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.030918e-02,200,0.162665,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.464759e-03,211,0.158820,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.486970e-04,223,0.152504,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.411592e-04,236,0.152215,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.480795e-03,249,0.157836,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.402104e-03,264,0.161758,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.097975e-03,279,0.147258,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.364846e-03,295,0.155721,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.901614e-03,311,0.145454,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.942367e-04,329,0.151361,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.339985e-03,348,0.147016,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.394470e-03,368,0.155750,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.407025e-04,389,0.152496,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.299866e-03,411,0.150056,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.608279e-03,435,0.145747,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.463934e-03,459,0.149892,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
2.432251e-03,486,0.149923,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.224389e-03,513,0.147131,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
5.413054e-03,543,0.157769,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.525792e-03,574,0.150830,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
9.113947e-04,606,0.151444,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
3.108281e-03,641,0.149247,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
6.408258e-03,678,0.145947,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
1.089935e-03,716,0.151266,0.152356,0.150000,0.200000,0.950000,1,skewnorm,3,7.000000,0.000000
