num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
10,1.3266778310222351,0.02519748407086242,0.07968144096973682,1575.018434780195,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
11,1.0845987216872077,0.216881625264165,0.7193149749236996,21.259570276908327,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
12,1.3806495841705686,0.07916923721919589,0.2742502825202405,159.54642554673163,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
13,1.4950825806882952,0.19360223373692254,0.6980427807828384,26.67959744373433,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
14,1.0749810257934946,0.22649932115787808,0.8474828581096577,19.492439302718104,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
15,1.4639714056890791,0.16249105873770642,0.6293251643987482,37.873990263231626,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
16,1.398115104067313,0.09663475711594027,0.3865390284637611,107.08614413516577,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
17,1.2966765036382328,0.004803843313139877,0.01980675338899281,43333.35680505069,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
18,1.4009972866251683,0.0995169396737956,0.4222146173176406,100.9731664329383,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
19,1.1638843705552617,0.13759597639611099,0.5997669561484557,52.81880013161296,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
20,1.4718596961969483,0.17037934924557563,0.7619596137505693,34.4481647647224,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
21,1.4300600899785487,0.128579743027176,0.5892264052600044,60.48600389105815,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
22,1.7329205940819146,0.43144024713054185,2.023634134563209,5.37228059568587,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
24,1.2664027707879808,0.03507757616339191,0.17184432602784835,812.7198131033189,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
25,1.257527296454954,0.04395305049641873,0.21976525248209366,517.6330004630194,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
27,1.361361838860316,0.05988149190894321,0.31115335925794285,278.8783344645715,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
28,1.3070070958992555,0.0055267489478827425,0.029244806549571227,32738.631794829653,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
30,1.3049490543312787,0.003468707379906011,0.018998892773591642,83112.17952938998,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
32,1.3308744927613536,0.0293941458099809,0.1662783986353891,1157.38623166206,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
33,1.3573134084753593,0.055833061523986593,0.320736519672553,320.787262329349,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
35,1.5145594043577797,0.21307905740640698,1.2605927037239668,22.025129273586895,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
37,1.331286837196775,0.029806490245402273,0.18130580202443233,1125.5850584668763,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
40,1.3324869995295703,0.03100665257819757,0.19610328952927292,1040.1362534085972,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
42,1.2764284847232592,0.02505186222811351,0.16235462311264184,1593.3822346374004,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
44,1.3732517922273872,0.07177144527601453,0.4760779092841315,194.13177096592497,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
47,1.4358616284808443,0.1343812815294716,0.9212716509253098,55.37610980855201,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
49,1.3378228864495025,0.03634253949812982,0.25439777648690876,757.1282619794507,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
52,1.3444777164600539,0.04299736950868116,0.3100584409472436,540.8990587675526,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
55,1.4239924546220486,0.12251210767067588,0.9085741075581675,66.62572948252442,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
59,1.3664480387281712,0.06496769177679851,0.49902630944019416,236.92185582054785,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
62,1.38322313199548,0.08174278504410726,0.6436433330809554,149.6584142453683,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
65,1.3380128691219753,0.036532522170602544,0.2945346099348289,749.2740417860444,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
69,1.3509830305663597,0.049502683614987,0.4112001729947346,408.0773716676327,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
73,1.1582942474882119,0.14318609946316085,1.2233825700906547,48.77511283628001,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
