(.venv) (base) user@qbraid:~/WhatTheDuck/hyperparameter-sweep$ python qae_sweep.py run --indir build_qasm --trials 40 --alpha 0.05 --seed 395 --device GPU --method statevector --shots 1024 --max-steps 64 --out best_algo_params.json
    QASM loaded and decomposed: depth=239, gates=253
    QASM loaded and decomposed: depth=239, gates=253
    QASM loaded and decomposed: depth=239, gates=253
    QASM loaded and decomposed: depth=239, gates=253
    QASM loaded and decomposed: depth=239, gates=253
    QASM loaded and decomposed: depth=239, gates=253
    QASM loaded and decomposed: depth=239, gates=253
    QASM loaded and decomposed: depth=239, gates=253
[I 2026-02-01 09:40:55,490] A new study created in memory with name: no-name-9f0bbc37-0555-44d3-a80c-d68199ad9a15
  [mixture] var_hat=2.7323, ref=0.7008, err=2.898876, cost=99328
  [beta] var_hat=0.0630, ref=0.0630, err=0.000000, cost=129024
  [normal] var_hat=-1.7323, ref=-1.6693, err=0.037736, cost=261120
  [exponential] var_hat=0.0472, ref=0.0472, err=0.000000, cost=216064
  [student_t] var_hat=-2.3325, ref=-2.3325, err=0.000000, cost=205824
  [lognormal] var_hat=1.6112, ref=1.6238, err=0.007714, cost=262144
  [pareto] var_hat=1.0000, ref=1.0000, err=0.000000, cost=248832
  [skew_normal] var_hat=-0.1096, ref=-0.0795, err=0.378305, cost=156672
[I 2026-02-01 09:45:11,843] Trial 0 finished with value: 902592.6063031363 and parameters: {'epsilon': 0.006692086373513683, 'alpha_fail': 0.0020759939495991315, 'prob_tol_mult': 0.09638261864651872}. Best is trial 0 with value: 902592.6063031363.
  [normal] var_hat=-2.0472, ref=-1.6693, err=0.226415, cost=33792
  [beta] var_hat=0.0630, ref=0.0630, err=0.000000, cost=55296
  [skew_normal] var_hat=-0.1096, ref=-0.0795, err=0.378305, cost=50376
  [mixture] var_hat=0.7008, ref=0.7008, err=0.000000, cost=51400
  [lognormal] var_hat=1.6112, ref=1.6238, err=0.007714, cost=53248
  [student_t] var_hat=-2.3325, ref=-2.3325, err=0.000000, cost=54472
  [pareto] var_hat=1.0000, ref=1.0000, err=0.000000, cost=52224
  [exponential] var_hat=0.0472, ref=0.0472, err=0.000000, cost=56320
[I 2026-02-01 09:46:44,149] Trial 1 finished with value: 165275.86192083114 and parameters: {'epsilon': 0.04155795912741327, 'alpha_fail': 0.009438720724508336, 'prob_tol_mult': 0.14524612246196622}. Best is trial 1 with value: 165275.86192083114.
  [lognormal] var_hat=1.6112, ref=1.6238, err=0.007714, cost=610304
  [skew_normal] var_hat=-0.1096, ref=-0.0795, err=0.378305, cost=732160
  [mixture] var_hat=0.7008, ref=0.7008, err=0.000000, cost=564224
  [beta] var_hat=0.0630, ref=0.0630, err=0.000000, cost=704512
  [normal] var_hat=-1.7323, ref=-1.6693, err=0.037736, cost=723968
  [pareto] var_hat=1.0000, ref=1.0000, err=0.000000, cost=786432
  [exponential] var_hat=0.0472, ref=0.0472, err=0.000000, cost=769024
  [student_t] var_hat=-2.3325, ref=-2.3325, err=0.000000, cost=829440
[I 2026-02-01 10:00:37,515] Trial 2 finished with value: 805807.9562745824 and parameters: {'epsilon': 0.0028836541831998635, 'alpha_fail': 0.0050427457112110635, 'prob_tol_mult': 0.191384377311403}. Best is trial 1 with value: 165275.86192083114.
  [skew_normal] var_hat=-0.1096, ref=-0.0795, err=0.378305, cost=46080
  [mixture] var_hat=0.7008, ref=0.7008, err=0.000000, cost=43008
  [normal] var_hat=-1.7323, ref=-1.6693, err=0.037736, cost=46080
  [beta] var_hat=0.0630, ref=0.0630, err=0.000000, cost=47104
  [lognormal] var_hat=1.6112, ref=1.6238, err=0.007714, cost=36864
  [pareto] var_hat=1.0000, ref=1.0000, err=0.000000, cost=44032
  [student_t] var_hat=-2.3325, ref=-2.3325, err=0.000000, cost=52224
  [exponential] var_hat=0.0472, ref=0.0472, err=0.000000, cost=48128
[I 2026-02-01 10:02:07,843] Trial 3 finished with value: 136239.95627458248 and parameters: {'epsilon': 0.01320798598961726, 'alpha_fail': 0.001719277515863853, 'prob_tol_mult': 0.06050277191263494}. Best is trial 3 with value: 136239.95627458248.
  [mixture] var_hat=1.9764, ref=0.7008, err=1.820225, cost=493568
  [lognormal] var_hat=1.6112, ref=1.6238, err=0.007714, cost=500736
